lat,lon,tweetID,county_name,state_name
25.77427,-80.19366,1.316529221557252e+18,Miami-Dade,Florida
46.3040364,-109.17143119999999,1.3165293050069524e+18,Golden Valley,Montana
36.7014631,-118.75599740000001,1.316529312741253e+18,Tulare,California
41.875561600000005,-87.6244212,1.3165293244182405e+18,Cook,Illinois
37.5726028,-85.1551411,1.3165294600327987e+18,Marion,Kentucky
27.947759499999997,-82.458444,1.3165295693614694e+18,Hillsborough,Florida
40.116420500000004,-88.2433829,1.316529646633136e+18,Champaign,Illinois
34.0980031,-118.329523,1.316529668279894e+18,Los Angeles,California
39.7837304,-100.4458825,1.3165296791893975e+18,Decatur,Kansas
34.0536909,-118.24276599999999,1.3165297093714616e+18,Los Angeles,California
27.7567667,-81.4639835,1.316529716623483e+18,Polk,Florida
33.7475203,-116.97196840000001,1.3165297246261043e+18,Riverside,California
40.7127281,-74.0060152,1.3165297461095096e+18,New York,New York
44.9772995,-93.2654692,1.3165298193630167e+18,Hennepin,Minnesota
42.633424700000006,-71.3161718,1.31652987081873e+18,Middlesex,Massachusetts
45.98965870000001,-94.6113288,1.3165298927423652e+18,Morrison,Minnesota
38.793098799999996,-77.4479432,1.3165299335068017e+18,Prince William,Virginia
27.7567667,-81.4639835,1.316529962833326e+18,Polk,Florida
40.7127281,-74.0060152,1.3165300473695724e+18,New York,New York
39.7683331,-86.1583502,1.3165300754043003e+18,Marion,Indiana
26.3586885,-80.08309840000001,1.3165301785128755e+18,Palm Beach,Florida
39.7837304,-100.4458825,1.3165302209466655e+18,Decatur,Kansas
35.0634594,-82.03351049999999,1.3165303310010163e+18,Spartanburg,South Carolina
35.4787003,-93.4655306,1.3165303954212536e+18,Johnson,Arkansas
39.7837304,-100.4458825,1.3165304836441006e+18,Decatur,Kansas
47.6038321,-122.3300624,1.316530494696112e+18,King,Washington
33.749098700000005,-84.39018490000001,1.3165305719050322e+18,Fulton,Georgia
39.7837304,-100.4458825,1.316530646488154e+18,Decatur,Kansas
32.7174209,-117.16277140000001,1.316530687604793e+18,San Diego,California
39.7837304,-100.4458825,1.3165306907127726e+18,Decatur,Kansas
33.687438799999995,-80.4363743,1.3165307481203548e+18,Clarendon,South Carolina
34.233137299999996,-102.4107493,1.3165307889099407e+18,Lamb,Texas
40.225356899999994,-82.6881395,1.3165308018283438e+18,Licking,Ohio
33.4255056,-111.9400125,1.316531002227843e+18,Maricopa,Arizona
39.7837304,-100.4458825,1.3165310016660152e+18,Decatur,Kansas
39.7837304,-100.4458825,1.3165310336013844e+18,Decatur,Kansas
38.793098799999996,-77.4479432,1.3165311309218898e+18,Prince William,Virginia
39.2908816,-76.610759,1.316531174404051e+18,Baltimore City,Maryland
40.714269,-74.005973,1.3165312156594012e+18,New York,New York
39.7837304,-100.4458825,1.316531242683306e+18,Decatur,Kansas
40.0757384,-74.4041622,1.3165312942858363e+18,Ocean,New Jersey
48.4108018,-114.33462450000002,1.3165313204371784e+18,Flathead,Montana
38.890396100000004,-77.0841585,1.316531356759974e+18,Arlington,Virginia
41.875561600000005,-87.6244212,1.316531369594544e+18,Cook,Illinois
39.9527237,-75.16352619999999,1.316531521638011e+18,Philadelphia,Pennsylvania
39.7837304,-100.4458825,1.3165315640467003e+18,Decatur,Kansas
40.7127281,-74.0060152,1.316531564948398e+18,New York,New York
45.679429299999995,-111.04404740000001,1.3165316281270764e+18,Gallatin,Montana
36.8529841,-75.9774183,1.3165316397874217e+18,Virginia Beach City,Virginia
38.707868,-76.53148929999999,1.316531645160325e+18,Calvert,Maryland
40.7127281,-74.0060152,1.3165316535992033e+18,New York,New York
33.687438799999995,-80.4363743,1.3165316629777203e+18,Clarendon,South Carolina
35.6729639,-79.03929190000001,1.3165316890327572e+18,Chatham,North Carolina
40.225356899999994,-82.6881395,1.3165317992758354e+18,Licking,Ohio
